ID,Name
1,
30000,Furlcalling Finger Remedy - Default
30010,
30020,
30030,
30031,
30100,Fire Pot - Default
30101,Redmane Fire Pot - Armorer's Cookbook [4]
30102,Giantsflame Fire Pot - Armorer's Cookbook [7]
30103,Lightning Pot - Ancient Dragon Apostle's Cookbook [2]
30104,Ancient Dragonbolt Pot - Ancient Dragon Apostle's Cookbook [4]
30105,Fetid Pot - Nomadic Warrior's Cookbook [4]
30106,Swarm Pot - Nomadic Warrior's Cookbook [24]
30107,Holy Water Pot - Missionary's Cookbook [1]
30108,Sacred Order Pot - Missionary's Cookbook [5]
30109,Freezing Pot - Glintstone Craftsman's Cookbook [6]
30110,Poison Pot - Nomadic Warrior's Cookbook [14]
30111,Oil Pot - Nomadic Warrior's Cookbook [17]
30112,Alluring Pot - Nomadic Warrior's Cookbook [21]
30113,Beastlure Pot - Nomadic Warrior's Cookbook [5]
30114,Roped Fire Pot - Nomadic Warrior's Cookbook [7]
30115,Roped Lightning Pot - Ancient Dragon Apostle's Cookbook [2]
30116,Roped Fetid Pot - Nomadic Warrior's Cookbook [4]
30117,Roped Poison Pot - Nomadic Warrior's Cookbook [14]
30118,Roped Oil Pot - Nomadic Warrior's Cookbook [17]
30119,Roped Magic Pot - Glintstone Craftsman's Cookbook [4]
30120,Roped Fly Pot - Nomadic Warrior's Cookbook [24]
30122,Roped Volcano Pot - Nomadic Warrior's Cookbook [20]
30123,Roped Holy Water Pot - Missionary's Cookbook [1]
30124,Volcano Pot - Nomadic Warrior's Cookbook [20]
30125,Albinauric Pot - Glintstone Craftsman's Cookbook [3]
30126,Cursed-Blood Pot - Nomadic Warrior's Cookbook [12]
30127,Sleep Pot - Fevor's Cookbook [1]
30128,Rancor Pot - Nomadic Warrior's Cookbook [9]
30129,Magic Pot - Glintstone Craftsman's Cookbook [4]
30130,Academy Magic Pot - Glintstone Craftsman's Cookbook [8]
30131,Rot Pot - Nomadic Warrior's Cookbook [22]
30200,Rowa Raisin - Default
30201,Sweet Raisin - Nomadic Warrior's Cookbook [19]
30202,Frozen Raisin - Nomadic Warrior's Cookbook [23]
30203,
30204,
30205,
30206,
30300,Neutralizing Boluses - Armorer's Cookbook [2]
30301,Stanching Boluses - Nomadic Cookbook [7]
30302,Thawfrost Boluses - Nomadic Warrior's Cookbook [16]
30303,Stimulating Boluses - Nomadic Warrior's Cookbook [16]
30304,Preserving Boluses - Armorer's Cookbook [6]
30305,Rejuvenating Boluses - Missionary's Cookbook [7]
30306,Clarifying Boluses - Frenzied's Cookbook [1]
30400,Pickled Turtle Neck - Nomadic Warrior's Cookbook [3]
30401,Immunizing Cured Meat - Armorer's Cookbook [5]
30402,Invigorating Cured Meat - Nomadic Warrior's Cookbook [2]
30403,Clarifying Cured Meat - Nomadic Warrior's Cookbook [23]
30404,Dappled Cured Meat - Nomadic Warrior's Cookbook [18]
30405,Spellproof Dried Liver - Nomadic Warrior's Cookbook [11]
30406,Fireproof Dried Liver - Armorer's Cookbook [1]
30407,Lightningproof Dried Liver - Ancient Dragon Apostle's Cookbook [4]
30408,Holyproof Dried Liver - Missionary's Cookbook [6]
30409,Silver-Pickled Fowl Foot - Missionary's Cookbook [3]
30410,Gold-Pickled Fowl Foot - Missionary's Cookbook [2]
30411,Exalted Flesh - Armorer's Cookbook [3]
30412,
30413,Immunizing White Cured Meat - Armorer's Cookbook [5]
30414,Invigorating White Cured Meat - Nomadic Warrior's Cookbook [2]
30415,Clarifying White Cured Meat - Nomadic Warrior's Cookbook [23]
30416,Dappled White Cured Meat - Nomadic Warrior's Cookbook [18]
30417,
30418,
30419,
30500,Fire Grease - Armorer's Cookbook [1]
30501,Lightning Grease - Ancient Dragon Apostle's Cookbook [1]
30502,Magic Grease - Glintstone Craftsman's Cookbook [5]
30503,Holy Grease - Missionary's Cookbook [4]
30504,Blood Grease - Nomadic Warrior's Cookbook [6]
30505,Soporific Grease - Fevor's Cookbook [2]
30506,Poison Grease - Nomadic Warrior's Cookbook [8]
30507,Freezing Grease - Glintstone Craftsman's Cookbook [2]
30508,Dragonwound Grease - Ancient Dragon Apostle's Cookbook [3]
30509,Rot Grease - Nomadic Warrior's Cookbook [22]
30510,Drawstring Fire Grease - Armorer's Cookbook [1]
30511,Drawstring Lightning Grease - Ancient Dragon Apostle's Cookbook [1]
30512,Drawstring Magic Grease - Glintstone Craftsman's Cookbook [5]
30513,Drawstring Holy Grease - Missionary's Cookbook [4]
30514,Drawstring Blood Grease - Nomadic Warrior's Cookbook [6]
30515,Drawstring Soporific Grease - Fevor's Cookbook [2]
30516,Drawstring Poison Grease - Nomadeic Warrior's Cookbook [8]
30517,
30518,Drawstring Rot Grease - Nomadic Warrior's Cookbook [22]
